ENR15   ABL1
ENR16   ACE2
ENR17   ACP5
ENR18   ACVRL1
ENR19   ADA
ENR20   ADAM22
ENR21   ADAM23
ENR22   ADAM8
ENR23   ADAMTS13
ENR24   ADAMTS15
ENR25   ADM
ENR26   AGER
ENR27   AGRP
ENR28   ALCAM
ENR29   AMBP
ENR30   ANGPT1
ENR31   ANPEP
ENR32   ANXA1
ENR33   AREG
ENR34   ARTN
ENR35   ASAH2
ENR36   AXIN1
ENR37   AXL
ENR38   AZU1
ENR39   BCAN
ENR40   BDNF
ENR41   BLMH
ENR42   BMP4
ENR43   BMP6
ENR44   BOC
ENR45   CA5A
ENR46   CA9
ENR47   CADM3
ENR48   CASP3
ENR49   CASP8
ENR50   CCL11
ENR51   CCL13
ENR52   CCL15
ENR53   CCL16
ENR54   CCL17
ENR55   CCL19
ENR56   CCL2
ENR57   CCL20
ENR58   CCL22
ENR59   CCL23
ENR60   CCL24
ENR61   CCL25
ENR62   CCL28
ENR63   CCL3
ENR64   CCL4
ENR65   CCL7
ENR66   CCL8
ENR67   CD160
ENR68   CD163
ENR69   CD200
ENR70   CD200R1
ENR71   CD207
ENR72   CD244
ENR73   CD27
ENR74   CD274
ENR75   CD300C
ENR76   CD300LF
ENR77   CD38
ENR78   CD4
ENR79   CD40
ENR80   CD40LG
ENR81   CD48
ENR82   CD5
ENR83   CD6
ENR84   CD70
ENR85   CD84
ENR86   CD93
ENR87   CDCP1
ENR88   CDH3
ENR89   CDH5
ENR90   CDH6
ENR91   CDKN1A
ENR92   CEACAM1
ENR93   CEACAM5
ENR94   CEACAM8
ENR95   CHI3L1
ENR96   CHIT1
ENR97   CLEC10A
ENR98   CLEC1B
ENR99   CNTN1
ENR100  CNTN5
ENR101  COL1A1
ENR102  CPA1
ENR103  CPA2
ENR104  CPB1
ENR105  CPE
ENR106  CPM
ENR107  CRNN
ENR108  CRTAM
ENR109  CSF1
ENR110  CSF2RA
ENR111  CSF3
ENR112  CST5
ENR113  CSTB
ENR114  CTRC
ENR115  CTSC
ENR116  CTSD
ENR117  CTSL
ENR118  CTSS
ENR119  CTSV
